School Code,School Code Adjusted,School Name,Great Schools Rating,Great Schools URL,
275243,275243,Byck Elementary,1,https://www.greatschools.org/kentucky/louisville/797-Byck-Elementary-School/,https://www.greatschools.org/kentucky/louisville/797-Byck-Elementary-School/
275004,275004,Camp Taylor Elementary,2,https://www.greatschools.org/kentucky/louisville/701-Camp-Taylor-Elementary-School/,https://www.greatschools.org/kentucky/louisville/701-Camp-Taylor-Elementary-School/
275005,275005,Cane Run Elementary,3,https://www.greatschools.org/kentucky/shively/702-Cane-Run-Elementary-School/,https://www.greatschools.org/kentucky/shively/702-Cane-Run-Elementary-School/
275167,275167,Carrithers Middle,3,https://www.greatschools.org/kentucky/louisville/789-Carrithers-Middle-School/,https://www.greatschools.org/kentucky/louisville/789-Carrithers-Middle-School/
275680,275680,Carter Traditional Elementary,6,https://www.greatschools.org/kentucky/louisville/831-Carter-Elementary-School/,https://www.greatschools.org/kentucky/louisville/831-Carter-Elementary-School/
275179,275179,Central High Magnet Career Academy,5,https://www.greatschools.org/kentucky/louisville/790-Central-High-School/,https://www.greatschools.org/kentucky/louisville/790-Central-High-School/
275102,275102,Chancey Elementary,4,https://www.greatschools.org/kentucky/louisville/2020-Chancey-Elementary-School/,https://www.greatschools.org/kentucky/louisville/2020-Chancey-Elementary-School/
275046,275046,Chenoweth Elementary,6,https://www.greatschools.org/kentucky/louisville/720-Chenoweth-Elementary-School/,https://www.greatschools.org/kentucky/louisville/720-Chenoweth-Elementary-School/
275323,275323,Cochran Elementary,4,https://www.greatschools.org/kentucky/louisville/807-Cochran-Elementary-School/,https://www.greatschools.org/kentucky/louisville/807-Cochran-Elementary-School/
275083,275083,Cochrane Elementary,4,https://www.greatschools.org/kentucky/jeffersontown/744-Cochrane-Elementary-School/,https://www.greatschools.org/kentucky/jeffersontown/744-Cochrane-Elementary-School/
275660,275660,Coleridge,2,https://www.greatschools.org/kentucky/louisville/830-Coleridge-Taylor-Elementary-School/,https://www.greatschools.org/kentucky/louisville/830-Coleridge-Taylor-Elementary-School/
275164,275164,Conway Middle,2,https://www.greatschools.org/kentucky/louisville/787-Conway-Middle-School/,https://www.greatschools.org/kentucky/louisville/787-Conway-Middle-School/
275060,275060,Coral Ridge Elementary,4,https://www.greatschools.org/kentucky/hollyvilla/727-Coral-Ridge-Elementary-School/,https://www.greatschools.org/kentucky/hollyvilla/727-Coral-Ridge-Elementary-School/
275119,275119,Crosby Middle,5,https://www.greatschools.org/kentucky/louisville/768-Crosby-Middle-School/,https://www.greatschools.org/kentucky/louisville/768-Crosby-Middle-School/
275092,275092,Crums Lane Elementary,1,https://www.greatschools.org/kentucky/louisville/751-Crums-Lane-Elementary-School/,https://www.greatschools.org/kentucky/louisville/751-Crums-Lane-Elementary-School/
275082,275082,Dixie Elementary,3,https://www.greatschools.org/kentucky/louisville/743-Dixie-Elementary-School/,https://www.greatschools.org/kentucky/louisville/743-Dixie-Elementary-School/
275100,275100,Doss High,1,https://www.greatschools.org/kentucky/louisville/758-Doss-High-School/,https://www.greatschools.org/kentucky/louisville/758-Doss-High-School/
275182,275182,Dr. William H. Perry Elementary School,,https://www.greatschools.org/kentucky/louisville/823-Roosevelt-Perry-Elementary-School/,https://www.greatschools.org/kentucky/louisville/823-Roosevelt-Perry-Elementary-School/
275156,275156,Dunn Elementary,8,https://www.greatschools.org/kentucky/indian-hills/783-Dunn-Elementary-School/,https://www.greatschools.org/kentucky/indian-hills/783-Dunn-Elementary-School/
275200,275200,duPont Manual High,10,https://www.greatschools.org/kentucky/louisville/794-Dupont-Manual-High-School/,https://www.greatschools.org/kentucky/louisville/794-Dupont-Manual-High-School/
275007,275007,Eastern High,7,https://www.greatschools.org/kentucky/louisville/703-Eastern-High-School/,https://www.greatschools.org/kentucky/louisville/703-Eastern-High-School/
275131,275131,Eisenhower Elementary,5,https://www.greatschools.org/kentucky/louisville/774-Eisenhower-Elementary-School/,https://www.greatschools.org/kentucky/louisville/774-Eisenhower-Elementary-School/
275240,275240,Engelhard Elementary,2,https://www.greatschools.org/kentucky/louisville/796-Engelhard-Elementary-School/,https://www.greatschools.org/kentucky/louisville/796-Engelhard-Elementary-School/
275010,275010,Fairdale Elementary,6,https://www.greatschools.org/kentucky/louisville/704-Fairdale-Elementary-School/,https://www.greatschools.org/kentucky/louisville/704-Fairdale-Elementary-School/
275057,275057,Fairdale High,1,https://www.greatschools.org/kentucky/louisville/724-Fairdale-High-School-Mca/,https://www.greatschools.org/kentucky/louisville/724-Fairdale-High-School-Mca/
